,SMC Mean,JAC Mean
Shortest serving US Presidents,0.8677685950413223,0.8694214876033058
Most valuable soccer clubs in 2022 in England,0.9338842975206613,0.9669421487603307
Largest stadiums in the world by capacity,0.8288770053475937,0.8502673796791445
Countries with the most satellites in space,0.9127272727272725,1.0
Most populated cities in Asia,0.8314049586776859,0.8809917355371903
Most downloaded games on Steam in 2021,0.5980304543940907,0.7208488481215753
Most visited zoos in the world,0.48347531256622167,0.8087306632761179
Most common types of cancer worldwide,0.8181818181818182,0.8181818181818182
Most visited newspaper websites in the world,0.7378236914600552,0.8490358126721765
Most downloaded games on App Store in 2012,0.8572727272727274,0.9393939393939393
Most produced aircraft models in history,0.7614876033057851,0.9404958677685953
Largest cruise ships in the world,0.6355123664214573,0.7658765476947298
Countries with the largest natural gas reserves,1.0,1.0
Most successful esports teams by tournament winnings,0.5586776859504132,0.7650773468955285
Most streamed podcasts in 2020,0.6812121212121212,0.8699724517906335
Most downloaded apps on Google Play in 2023,0.7856749311294766,0.8413223140495868
Most popular artist on spotify by monthly listeners,0.5961114642932824,0.7882602246238611
Most commonly prescribed medications in USA,0.8413223140495866,0.9206611570247936
Oldest universities in the world,0.8528925619834712,0.8528925619834712
Countries with the highest height average in 2020,1.0,1.0
Countries with the largest number of airports,0.9636363636363635,1.0
Most watched sports leagues in the world,0.6078687978687978,0.7472709109072749
Most produced car models in history,0.8072727272727273,1.0
Largest urban parks in the world,0.3893527684436775,0.6010474374110739
Most sold shoes in 2021,0.7520479520479524,0.7520479520479524
Most visited wikipedia pages of all time,0.5660542487815214,0.7899978809069719
