,SMC Mean,JAC Mean
Most expensive art auctions in history,0.47163926982108795,0.5666769594042322
Most watched TV series on HBO MAX in 2023,0.29916749916749913,0.5752671570853389
Most winning national soccer teams of all time by world championship titles,1.0,1.0
Largest financial markets in the world,0.2659968102073365,0.3028986962001316
Most visited amusement parks in France,0.3160303333030605,0.6786667877576967
Shortest serving US Presidents,0.763746556473829,0.7862258953168045
Most valuable soccer clubs in 2022 in England,0.8029752066115702,0.9074380165289259
Largest stadiums in the world by capacity,0.5125846702317289,0.5872305947172257
Countries with the most satellites in space,0.8595041322314049,0.9669421487603307
Most populated cities in Asia,0.8203856749311295,0.8600550964187329
Most downloaded games on Steam in 2021,0.43685677958405233,0.675233857052039
Most visited zoos in the world,0.25627826718735813,0.636902491447946
Most common types of cancer worldwide,0.5878787878787878,0.5878787878787878
Most visited newspaper websites in the world,0.4415363424454333,0.7364272091544818
Most downloaded games on App Store in 2012,0.277029637029637,0.5089536132316881
Most produced aircraft models in history,0.5007843671480036,0.6621015348288075
Largest cruise ships in the world,0.4446329428147609,0.6069021887203706
Countries with the largest natural gas reserves,1.0,1.0
Most successful esports teams by tournament winnings,0.49362364907819445,0.7767747404111038
Most streamed podcasts in 2020,0.43813519813519813,0.7789362152998518
Most downloaded apps on Google Play in 2023,0.4527481609299791,0.6521357430448339
Most popular artist on spotify by monthly listeners,0.3137550328459418,0.6815850815850818
Most commonly prescribed medications in USA,0.7091332909514726,0.8295401568128843
Oldest universities in the world,0.563848878394333,0.6552356734174914
Countries with the highest height average in 2020,1.0,1.0
Countries with the largest number of airports,0.7945454545454543,0.8909090909090909
Most watched sports leagues in the world,0.43509127236399975,0.7375109738746103
Most produced car models in history,0.5934159779614324,0.7730027548209366
Largest urban parks in the world,0.1867591395532572,0.3474199003610768
Most sold shoes in 2021,0.3750815850815849,0.5132867132867133
Most visited wikipedia pages of all time,0.3811511216056671,0.6401386492295583
